Date,Open,High,Low,Close,Adj Close,Volume
11/27/2017,1202.660034,1213.410034,1145.189941,1162.349976,1162.349976,29177200
12/4/2017,1173.849976,1175.199951,1124.73999,1162,1162,18426700
12/11/2017,1164.599976,1182.75,1157,1179.140015,1179.140015,15209100
12/18/2017,1187.369995,1194.780029,1167.640015,1168.359985,1168.359985,11614800
12/25/2017,1168.359985,1190.099976,1160.550049,1169.469971,1169.469971,8402500
1/1/2018,1172,1229.140015,1170.51001,1229.140015,1229.140015,12370100
1/8/2018,1236,1305.76001,1232.030029,1305.199951,1305.199951,19195500
1/15/2018,1323,1339.939941,1280.880005,1294.579956,1294.579956,21079900
1/22/2018,1297.170044,1402.530029,1296.660034,1402.050049,1402.050049,25727200
1/29/2018,1409.180054,1498,1385.140015,1429.949951,1429.949951,38238000
2/5/2018,1402.619995,1460.98999,1265.930054,1339.599976,1339.599976,52444600
2/12/2018,1364.670044,1468.939941,1344.01001,1448.689941,1448.689941,28741300
2/19/2018,1446.48999,1503.48999,1446.48999,1500,1500,22079800
2/26/2018,1509.199951,1528.699951,1455.01001,1500.25,1500.25,27701600
3/5/2018,1494.23999,1578.939941,1481,1578.890015,1578.890015,22366600
3/12/2018,1592.599976,1617.540039,1567.5,1571.680054,1571.680054,25460200
3/19/2018,1554.530029,1590,1495.359985,1495.560059,1495.560059,30239800
3/26/2018,1530,1575.969971,1365.199951,1447.339966,1447.339966,38910700
4/2/2018,1417.619995,1459.560059,1352.880005,1405.22998,1405.22998,39972900
4/9/2018,1425.030029,1459.780029,1402.569946,1430.790039,1430.790039,18865100
4/16/2018,1445,1568.52002,1427.47998,1527.48999,1527.48999,25215800
4/23/2018,1546.689941,1638.099976,1415.02002,1572.619995,1572.619995,40401700
4/30/2018,1582.5,1596,1546.02002,1580.949951,1580.949951,22092000
5/7/2018,1589.339966,1615.599976,1582.51001,1602.910034,1602.910034,15588500
5/14/2018,1604,1611.180054,1565.219971,1574.369995,1574.369995,14947800
5/21/2018,1585,1614.119995,1566.339966,1610.150024,1610.150024,14531100
5/28/2018,1600.709961,1646.72998,1600.150024,1641.540039,1641.540039,13233600
6/4/2018,1648.900024,1714.5,1645.48999,1683.98999,1683.98999,20163900
6/11/2018,1681.51001,1724.800049,1680.589966,1715.969971,1715.969971,15874200
6/18/2018,1706.26001,1763.099976,1700.390015,1715.670044,1715.670044,20746600
6/25/2018,1702.51001,1723.410034,1646.310059,1699.800049,1699.800049,25843200
7/2/2018,1682.699951,1725,1678.060059,1710.630005,1710.630005,10996400
